Name	Type	File	Tempo Offset	Min Var	Max Var
Bass MF Mallet	Percussion	percussion/bass-drum__025_mezzo-forte_bass-drum-mallet.wav	0	91	100
Bass MF Rute	Percussion	percussion/bass-drum__025_mezzo-forte_rute.wav	0	91	100
Woodblock	Percussion	percussion/woodblock__025_mezzo-forte_struck-singly.wav	0	91	100
Bass F Mallet	Percussion	percussion/bass-drum__025_forte_bass-drum-mallet.wav	0	91	100
Bass MF Mallet	Percussion	percussion/bass-drum__025_mezzo-forte_bass-drum-mallet.wav	0	91	100
Bass F Mallet	Percussion	percussion/bass-drum__025_forte_bass-drum-mallet.wav	0	81	90
Bass MF Mallet	Percussion	percussion/bass-drum__025_mezzo-forte_bass-drum-mallet.wav	0	81	90
Bass MF Rute	Percussion	percussion/bass-drum__025_mezzo-forte_rute.wav	0	81	90
Woodblock	Percussion	percussion/woodblock__025_mezzo-forte_struck-singly.wav	0	81	90
Bass F Mallet	Percussion	percussion/bass-drum__025_forte_bass-drum-mallet.wav	0	81	90
Bass MF Mallet	Percussion	percussion/bass-drum__025_mezzo-forte_bass-drum-mallet.wav	0	81	90
Bass MF Rute	Percussion	percussion/bass-drum__025_mezzo-forte_rute.wav	0	81	90
Woodblock	Percussion	percussion/woodblock__025_mezzo-forte_struck-singly.wav	0	81	90
Bass F Mallet	Percussion	percussion/bass-drum__025_forte_bass-drum-mallet.wav	0	81	90
Bass F Mallet	Percussion	percussion/bass-drum__025_forte_bass-drum-mallet.wav	0	71	80
Bass MF Mallet	Percussion	percussion/bass-drum__025_mezzo-forte_bass-drum-mallet.wav	0	71	80
Bass MF Rute	Percussion	percussion/bass-drum__025_mezzo-forte_rute.wav	0	71	80
Woodblock	Percussion	percussion/woodblock__025_mezzo-forte_struck-singly.wav	0	71	80
Bass F Mallet	Percussion	percussion/bass-drum__025_forte_bass-drum-mallet.wav	0	71	80
Bass MF Mallet	Percussion	percussion/bass-drum__025_mezzo-forte_bass-drum-mallet.wav	0	71	80
Bass MF Rute	Percussion	percussion/bass-drum__025_mezzo-forte_rute.wav	0	71	80
Woodblock	Percussion	percussion/woodblock__025_mezzo-forte_struck-singly.wav	0	71	80
Bass F Mallet	Percussion	percussion/bass-drum__025_forte_bass-drum-mallet.wav	0	61	70
Bass MF Mallet	Percussion	percussion/bass-drum__025_mezzo-forte_bass-drum-mallet.wav	0	61	70
Bass MF Rute	Percussion	percussion/bass-drum__025_mezzo-forte_rute.wav	0	61	70
Woodblock	Percussion	percussion/woodblock__025_mezzo-forte_struck-singly.wav	0	61	70
Bass F Mallet	Percussion	percussion/bass-drum__025_forte_bass-drum-mallet.wav	0	61	70
Bass MF Mallet	Percussion	percussion/bass-drum__025_mezzo-forte_bass-drum-mallet.wav	0	61	70
Bass MF Rute	Percussion	percussion/bass-drum__025_mezzo-forte_rute.wav	0	61	70
Bass F Mallet	Percussion	percussion/bass-drum__025_forte_bass-drum-mallet.wav	0	51	60
Bass MF Mallet	Percussion	percussion/bass-drum__025_mezzo-forte_bass-drum-mallet.wav	0	51	60
Bass MF Rute	Percussion	percussion/bass-drum__025_mezzo-forte_rute.wav	0	51	60
Woodblock	Percussion	percussion/woodblock__025_mezzo-forte_struck-singly.wav	0	51	60
Bass F Mallet	Percussion	percussion/bass-drum__025_forte_bass-drum-mallet.wav	0	51	60
Bass MF Mallet	Percussion	percussion/bass-drum__025_mezzo-forte_bass-drum-mallet.wav	0	51	60
Bass F Mallet	Percussion	percussion/bass-drum__025_forte_bass-drum-mallet.wav	0	41	50
Bass MF Mallet	Percussion	percussion/bass-drum__025_mezzo-forte_bass-drum-mallet.wav	0	41	50
Bass MF Rute	Percussion	percussion/bass-drum__025_mezzo-forte_rute.wav	0	41	50
Woodblock	Percussion	percussion/woodblock__025_mezzo-forte_struck-singly.wav	0	41	50
Bass F Mallet	Percussion	percussion/bass-drum__025_forte_bass-drum-mallet.wav	0	41	50
Bass F Mallet	Percussion	percussion/bass-drum__025_forte_bass-drum-mallet.wav	0	31	40
Bass MF Mallet	Percussion	percussion/bass-drum__025_mezzo-forte_bass-drum-mallet.wav	0	31	40
Bass MF Rute	Percussion	percussion/bass-drum__025_mezzo-forte_rute.wav	0	31	40
Woodblock	Percussion	percussion/woodblock__025_mezzo-forte_struck-singly.wav	0	31	40
Bass F Mallet	Percussion	percussion/bass-drum__025_forte_bass-drum-mallet.wav	0	21	30
Bass MF Mallet	Percussion	percussion/bass-drum__025_mezzo-forte_bass-drum-mallet.wav	0	21	30
Bass MF Rute	Percussion	percussion/bass-drum__025_mezzo-forte_rute.wav	0	21	30
Bass F Mallet	Percussion	percussion/bass-drum__025_forte_bass-drum-mallet.wav	0	11	20
Bass MF Mallet	Percussion	percussion/bass-drum__025_mezzo-forte_bass-drum-mallet.wav	0	11	20
Bass F Mallet	Percussion	percussion/bass-drum__025_forte_bass-drum-mallet.wav	0	0	10
